id,TokenCount,text
0,13811,"phone app i'm don't ads can't annoying time pop stop good apps virus bugs sites popping people problems reason wrong open that's notifications"
1,10278,"account password can't phone accounts hacked passwords access computer login email log facebook website sign site sync bookmarks gmail i'm saved don't manager"
2,11241,"zeroday update cybersecurity vulnerability security exploited infosec vulnerabilities cve patch actively hacking released read year fixed details emergency users malware flaw eighth hackers"
3,7866,"android firefox cookies windows edge error microsoft sucks spyware crap users amp issues googlechrome cybersecurity bugs malware working support brave vendor zerodays security"
4,12524,"update app can't version updated install unable updating won't play latest android phone store issue apps doesn't uninstall download device updates times installed"
5,18803,"tabs open app tab page update time crashes back pages can't search phone load close history doesn't updates times i've freezes blank group"
6,16807,"i've issue search extension i'm extensions windows settings works computer laptop open installed cache fine deleted back default malware happening ampxb time remove"
7,11043,"download slow downloading app can't internet connection good file speed error time bad network don't files site wifi update downloads fast issue open"
8,10743,"update app working open properly updating slow time can't won't good updated crashing doesn't load phone stopped responding days opening issue solve issues "
9,17252,"search screen video tab youtube page bar issue click mode option image videos doesn't open back bug images i'm window settings don't black"
